"Country","Issuer","Currency","Face value","Reference","N# number (with link)","Title","Type","Year range","Shape","Composition","Weight","Diameter","Year","Gregorian year","Mintmark","Comment","Quantity","For exchange","Grade","Collection","Buying price (GBP)","Estimate (GBP)","Private comment","Public comment"
"Canada","Canada","Canadian dollar (1858-date)","0.01","KM# 59","N# 432","1 Cent - Elizabeth II (2nd portrait; heavy type)","Standard circulation coin","1965-1979","Round","Bronze","3.24","19.05","1970","1970","","KM#59.1","1","","","","0.01","","Norwich D January 20",""
"Canada","Canada","Canadian dollar (1858-date)","0.01","KM# 59","N# 432","1 Cent - Elizabeth II (2nd portrait; heavy type)","Standard circulation coin","1965-1979","Round","Bronze","3.24","19.05","1971","1971","","KM#59.1","1","","","","0.2","","Kendal July 19","CAN-15 a"
"Canada","Canada","Canadian dollar (1858-date)","0.01","KM# 59","N# 432","1 Cent - Elizabeth II (2nd portrait; heavy type)","Standard circulation coin","1965-1979","Round","Bronze","3.24","19.05","1973","1973","","KM#59.1","1","","","","0.08","","Norwich August 19","CAN-30 a"
"Canada","Canada","Canadian dollar (1858-date)","0.01","KM# 59","N# 432","1 Cent - Elizabeth II (2nd portrait; heavy type)","Standard circulation coin","1965-1979","Round","Bronze","3.24","19.05","1979","1979","","KM#59.2 (smaller effigy; reduced thickness)","1","","","","0.01","","Norwich D January 20",""
"Canada","Canada","Canadian dollar (1858-date)","0.01","KM# 65","N# 430","1 Cent - Elizabeth II (Confederation)","Circulating commemorative coin","1967","Round","Bronze (98% Copper, 1.5% Zinc, 0.5% Tin)","3.24","19.05","1967","1967","","","1","","","","1.06","","Ebay June 19","CAN-08 a"
"Canada","Canada","Canadian dollar (1858-date)","0.01","KM# 127","N# 429","1 Cent - Elizabeth II (2nd portrait; light type)","Standard circulation coin","1980-1981","Round","Copper (98% copper, 1.75% tin, 0.25% zinc)","2.8","19","1980","1980","","","1","","","","0.06","","Ebay December 19","x"
"Canada","Canada","Canadian dollar (1858-date)","0.01","KM# 132","N# 427","1 Cent - Elizabeth II (2nd portrait, 12 sided)","Standard circulation coin","1982-1989","Dodecagonal (12-sided)","Bronze (.980 Cu, .005 Sn, .015 Zn)","2.5","19.1","1983","1983","","small obverse, beads far from rim","1","","","","0.1","","Bath A February 20",""
"Canada","Canada","Canadian dollar (1858-date)","0.01","KM# 132","N# 427","1 Cent - Elizabeth II (2nd portrait, 12 sided)","Standard circulation coin","1982-1989","Dodecagonal (12-sided)","Bronze (.980 Cu, .005 Sn, .015 Zn)","2.5","19.1","1985","1985","","Straight/blunt 5","1","","","","1.06","","Ebay June 19","CAN-09 a"
"Canada","Canada","Canadian dollar (1858-date)","0.01","KM# 132","N# 427","1 Cent - Elizabeth II (2nd portrait, 12 sided)","Standard circulation coin","1982-1989","Dodecagonal (12-sided)","Bronze (.980 Cu, .005 Sn, .015 Zn)","2.5","19.1","1989","1989","","","1","","","","0.01","","Norwich D January 20",""
"Canada","Canada","Canadian dollar (1858-date)","0.01","KM# 181","N# 425","1 Cent - Elizabeth II (3rd portrait, 12 sided)","Standard circulation coin","1990-1996","Dodecagonal (12-sided)","Bronze (.980 Cu, .005 Sn, .015 Zn)","2.5","19.1","1995","1995","","","1","","","","0.01","","Norwich D January 20",""
"Canada","Canada","Canadian dollar (1858-date)","0.01","KM# 204","N# 426","1 Cent - Elizabeth II (Confederation)","Circulating commemorative coin","1992","Dodecagonal (12-sided)","Bronze (.980 Cu, .005 Sn, .015 Zn)","2.5","19.1","1992","1992","","","1","","","","0.29","","Ebay P January 20",""
"Canada","Canada","Canadian dollar (1858-date)","0.01","KM# 289","N# 424","1 Cent - Elizabeth II (3rd portrait)","Standard circulation coin","1997-2003","Round","Copper plated zinc","2.25","19.05","1998","1998","","","1","","","","0.08","","Norwich M November 19",""
"Canada","Canada","Canadian dollar (1858-date)","0.05","KM# 9","N# 419","5 Cents - Edward VII","Standard circulation coin","1902","Round","Silver (.925)","1.162","15.5","1902","1902","","London","1","","","","2.5","","Ebay June 19","CAN-10 a"
"Canada","Canada","Canadian dollar (1858-date)","0.05","KM# 22","N# 416","5 Cents - George V (with DEI GRATIA)","Standard circulation coin","1912-1919","Round","Silver (.925)","1.167","15.494","1916","1916","","","1","","","","2.5","","Ebay June 19","CAN-11 a"
"Canada","Canada","Canadian dollar (1858-date)","0.05","KM# 29","N# 414","5 Cents - George V","Standard circulation coin","1922-1936","Round","Nickel","4.54","21.21","1924","1924","","","1","","","","0.5","","Norwich A January 20",""
"Canada","Canada","Canadian dollar (1858-date)","0.05","KM# 29","N# 414","5 Cents - George V","Standard circulation coin","1922-1936","Round","Nickel","4.54","21.21","1928","1928","","","1","","","","1","","Ebay July 19","CAN-20 a"
"Canada","Canada","Canadian dollar (1858-date)","0.05","KM# 29","N# 414","5 Cents - George V","Standard circulation coin","1922-1936","Round","Nickel","4.54","21.21","1936","1936","","","1","","","","0.5","","Norwich A January 20",""
"Canada","Canada","Canadian dollar (1858-date)","0.05","KM# 40a","N# 410","5 Cents - George VI (Victory; steel)","Circulating commemorative coin","1944-1945","Dodecagonal (12-sided)","Chromium plated steel","4.54","21.234","1944","1944","","","1","","","","0.08","","Norwich August 19","CAN-31 a"
"Canada","Canada","Canadian dollar (1858-date)","0.05","KM# 50a","N# 404","5 Cents - Elizabeth II (1st portrait, nickel)","Standard circulation coin","1955-1962","Dodecagonal (12-sided)","Nickel","4.54","21.234","1959","1959","","","1","","","","0.1","","Bath A February 20",""
"Canada","Canada","Canadian dollar (1858-date)","0.05","KM# 57","N# 403","5 Cents - Elizabeth II (1st portrait; round)","Standard circulation coin","1963-1964","Round","Nickel","4.54","21.21","1963","1963","","","1","","","","0.08","","Norwich M November 19",""
"Canada","Canada","Canadian dollar (1858-date)","0.05","KM# 60.1 60.2","N# 401","5 Cents - Elizabeth II (2nd portrait)","Standard circulation coin","1965-1981","Round","Nickel","4.54","21.21","1976","1976","","KM#60.1 (big portrait)","1","","","","0.08","","Norwich August 19","CAN-32 a"
"Canada","Canada","Canadian dollar (1858-date)","0.05","KM# 60.1 60.2","N# 401","5 Cents - Elizabeth II (2nd portrait)","Standard circulation coin","1965-1981","Round","Nickel","4.54","21.21","1979","1979","","KM#60.2 (small portrait)","1","","","","0.06","","Ebay December 19","x"
"Canada","Canada","Canadian dollar (1858-date)","0.05","KM# 60.2a","N# 400","5 Cents - Elizabeth II (2nd portrait; cupronickel)","Standard circulation coin","1982-1989","Round","Copper-nickel","4.6","21.2","1984","1984","","","1","","","","0.2","","Kendal July 19","CAN-16 a"
"Canada","Canada","Canadian dollar (1858-date)","0.05","KM# 491","N# 395","5 Cents - Elizabeth II (4th portrait; magnetic)","Standard circulation coin","2003-2022","Round","Nickel plated steel","3.95","21.2","2011","2011","L","RCM Logo","1","","","","0.1","","Bath A February 20",""
"Canada","Canada","Canadian dollar (1858-date)","0.1","KM# 10","N# 392","10 Cents - Edward VII","Standard circulation coin","1902-1910","Round","Silver (.925)","2.32","18.03","1904","1904","","Victorian leaves; Coin alignment","1","","","","2.99","","Ebay August 19","CAN-26 a"
"Canada","Canada","Canadian dollar (1858-date)","0.1","KM# 23","N# 390","10 Cents - George V","Standard circulation coin","1912-1919","Round","Silver (.925)","2.324","18.034","1912","1912","","Large leaves","1","","","","2.5","","Ebay June 19","CAN-12 a"
"Canada","Canada","Canadian dollar (1858-date)","0.1","KM# 23","N# 390","10 Cents - George V","Standard circulation coin","1912-1919","Round","Silver (.925)","2.324","18.034","1913","1913","","Large leaves","1","","","","1","","Ebay July 19","CAN-21 a"
"Canada","Canada","Canadian dollar (1858-date)","0.1","KM# 23","N# 390","10 Cents - George V","Standard circulation coin","1912-1919","Round","Silver (.925)","2.324","18.034","1919","1919","","Small leaves","1","","","","1.41","","Ebay July 19","CAN-22 a"
"Canada","Canada","Canadian dollar (1858-date)","0.1","KM# 23a","N# 389","10 Cents - George V","Standard circulation coin","1920-1936","Round","Silver (.800)","2.33","18.034","1932","1932","","","1","","","","0.99","","Ebay July 19","CAN-23 a"
"Canada","Canada","Canadian dollar (1858-date)","0.1","KM# 34","N# 388","10 Cents - George VI (with IND:IMP:)","Standard circulation coin","1937-1947","Round","Silver (.800)","2.33","18.034","1940","1940","","","1","","","","1","","Ebay July 19","CAN-24 a"
"Canada","Canada","Canadian dollar (1858-date)","0.1","KM# 34","N# 388","10 Cents - George VI (with IND:IMP:)","Standard circulation coin","1937-1947","Round","Silver (.800)","2.33","18.034","1943","1943","","","1","","","","1","","Ebay July 19","CAN-25 a"
"Canada","Canada","Canadian dollar (1858-date)","0.1","KM# 77","N# 7518","10 Cents - Elizabeth II (2nd portrait)","Standard circulation coin","1969-1989","Round","Nickel","2.07","18.034","1969","1969","","KM#77.1 (larger bust), small date","1","","","","0.08","","Norwich August 19","CAN-33 a"
"Canada","Canada","Canadian dollar (1858-date)","0.1","KM# 77","N# 7518","10 Cents - Elizabeth II (2nd portrait)","Standard circulation coin","1969-1989","Round","Nickel","2.07","18.034","1980","1980","","KM#77.2 (smaller bust) Bold date, wide ""0""","1","","","","0.2","","Kendal July 19","CAN-18 a"
"Canada","Canada","Canadian dollar (1858-date)","0.1","KM# 77","N# 7518","10 Cents - Elizabeth II (2nd portrait)","Standard circulation coin","1969-1989","Round","Nickel","2.07","18.034","1986","1986","","KM#77.2 (smaller bust)","1","","","","0.08","","Norwich August 19","CAN-17 a"
"Canada","Canada","Canadian dollar (1858-date)","0.1","KM# 183","N# 380","10 Cents - Elizabeth II (3rd portrait)","Standard circulation coin","1990-2000","Round","Nickel","2.07","18.03","1998","1998","","","1","","","","0.1","","Bath A February 20",""
"Canada","Canada","Canadian dollar (1858-date)","0.25","KM# 24","N# 373","25 Cents - George V","Standard circulation coin","1912-1919","Round","Silver (.925)","5.83","23.62","1916","1916","","","1","","","","0.5","","Norwich E January 19",""
"Canada","Canada","Canadian dollar (1858-date)","0.25","KM# 44","N# 370","25 Cents - George VI (w/o IND:IMP:)","Standard circulation coin","1948-1952","Round","Silver (.800)","5.83","23.62","1950","1950","","HR","1","","","","2.5","","Norwich E October 19","CAN-33 a"
"Canada","Canada","Canadian dollar (1858-date)","0.25","KM# 62b","N# 3863","25 Cents - Elizabeth II (2nd portrait)","Standard circulation coin","1968-1978","Round","Nickel","5.05","23.88","1972","1972","","148 small Denticles","1","","","","0.2","","Kendal July 19","CAN-19 a"
"Canada","Canada","Canadian dollar (1858-date)","0.25","KM# 493","N# 325","25 Cents - Elizabeth II (4th portrait)","Standard circulation coin","2003-2022","Round","Nickel plated steel","4.43","23.88","2009","2009","L","RCM Logo","1","","","","0.25","","Norwich G March 20",""
"Canada","Canada","Canadian dollar (1858-date)","1","KM# 76","N# 3326","1 Dollar - Elizabeth II (large 2nd portrait)","Standard circulation coin","1968-1976","Round","Nickel","15.62","32.13","1968","1968","","KM#76.1 Large island (noticeable close to the water, in front of the canoe)","1","","","","1","","Ebay August 19","CAN-27 a"
"Canada","Canadian provinces","Lower Canada - Pound","0.004166666666667","CCT# LC-9A","N# 6789","1 Penny / 2 Sous (City Bank)","Token","1837","Round","Copper","18.8","34","1837","1837","","LC-9A3","1","","","","","","Ebay July 19","CAP-04 a"
"Canada","Canadian provinces","New Brunswick - Dollar (1860-1867)","0.01","KM# 6","N# 14468","1 Cent - Victoria","Standard circulation coin","1861-1864","Round","Bronze","5.633","25","1861","1861","","","1","","","","3.5","","Hay-on-Wye June 19","CAP-01 a"
"Canada","Canadian provinces","Nova Scotia - Dollar (1860-1871)","0.01","KM# 8","N# 1064","1 Cent - Victoria","Standard circulation coin","1861-1864","Round","Bronze","5.67","25.53","1861","1861","","Large bud  (KM# 8.1)","1","","","","1.06","","Ebay June 19","CAP-02 a"
"Canada","Canadian provinces","Nova Scotia - Pound (1812-1860)","0.002083333333333","CCT# NS-1A","N# 4913","½ Penny - George IV","Token","1823-1832","Round","Copper","9.03","28.5","1824","1824","","see NS-1C","1","","","","1.99","","Ebay August 19","CAP-05"
"Canada","Canadian provinces","Nova Scotia - Pound (1812-1860)","0.002083333333333","CCT# NS-1A","N# 4913","½ Penny - George IV","Token","1823-1832","Round","Copper","9.03","28.5","1832","1832","","see NS-1D","1","","","","1.06","","Ebay June 19","CAP-03 a"
"Canada","Newfoundland","Dollar (1865-1949)","0.01","KM# 1","N# 3958","1 Cent - Victoria","Standard circulation coin","1865-1896","Round","Bronze (Cu 95%, Sn 4%, Zn 1%)","5.67","25.33","1894","1894","","","1","","","","1","","Ebay July 19","NFL-01 a"
"Canada","Newfoundland","Dollar (1865-1949)","0.05","KM# 19","N# 4583","5 Cents - George VI","Standard circulation coin","1938-1943","Round","Silver (.925)","1.166","15.69","1938","1938","","","1","","","","2.5","","Norwich October 19","NFL-02 a"
"China","China, Empire of","Yuan (1903-1912)","0.01","Y# 10j","N# 243811","10 Cash - Guangxu (With minting authority; redesigned dragon; Hupeh type; type 1)","Standard circulation coin","1906","","Copper","6.81","28","43","1906","鄂","午丙: Y#10j.1: Hupeh Mint (28-29mm)","1","","","","0.1","","Norwich E November 19",""
"China","China, Empire of","Yuan (1903-1912)","0.02","Y# 21","N# 18177","20 Cash - Xuantong","Standard circulation coin","1909","Round","Copper","11.26","34","46","1909","","酉己: Y#21.2: Teintsin Central Mint (without dot; six waves under dragon)","1","","","","0.5","","Bath C February 20",""
"China","China, People's Republic of","Second Rénmínbì (1955-date)","0.1","KM# 1210b","N# 1223","1 Jiao (magnetic)","Standard circulation coin","2005-2018","Round","Stainless steel","3.2","19","2018","2018","","","1","","","","","","Dad China 19",""
"China","China, People's Republic of","Second Rénmínbì (1955-date)","0.5","KM# 336","N# 1163","5 Jiao","Standard circulation coin","1991-2001","Round","Brass","3.8","20.5","1991","1991","","","1","","","","0.04","","Ebay B January 20",""
"China","China, People's Republic of","Second Rénmínbì (1955-date)","0.5","KM# 1411","N# 1222","5 Jiao","Standard circulation coin","2000-2018","Round","Brass plated steel","3.8","20.5","2016","2016","","","1","","","","","","Dad China 19",""
"China","China, People's Republic of","Second Rénmínbì (1955-date)","1","KM# 1212","N# 1588","1 Yuan","Standard circulation coin","1999-2019","Round","Nickel plated steel","6.1","25","2000","2000","","","1","","","","","","Dad China 19",""
"China","Hong Kong","Dollar (1863-date)","0.01","KM# 4.1","N# 5657","1 Cent - Victoria","Standard circulation coin","1863-1901","Round","Bronze","7.53","27.5","1901","1901","H","KM# 4.3 Heaton Mint; (5 pearls in center of crown)","1","","","","3.5","","Ebay May 19","HK-01 a"
"China","Hong Kong","Dollar (1863-date)","0.01","KM# 11","N# 7071","1 Cent - Edward VII","Standard circulation coin","1902-1905","Round","Bronze","7.5","27.6","1904","1904","H","Heaton Mint","1","","","","5","","Bath A May 19","HK-02 a"
"China","Hong Kong","Dollar (1863-date)","0.01","KM# 16","N# 3798","1 Cent - George V (large type)","Standard circulation coin","1919-1926","Round","Bronze","7.53","27.6","1924","1924","","","1","","","","8","","Bath A May 19","HK-03 a"
"China","Hong Kong","Dollar (1863-date)","0.05","KM# 26","N# 4053","5 Cents - George VI","Standard circulation coin","1949-1950","Round","Nickel brass (79% copper, 20% zinc, 1% nickel)","2.592","16.5","1949","1949","","","1","","","","1","","Ebay May 19","HK-04 a"
"China","Hong Kong","Dollar (1863-date)","0.05","KM# 29.2","N# 152635","5 Cents - Elizabeth II (1st portrait; reeded edge)","Standard circulation coin","1958-1980","Round","Nickel brass","2.6","16.5","1972","1972","H","KM# 29.3","1","","","","0.08","","Norwich August 19","HK-06"
"China","Hong Kong","Dollar (1863-date)","0.1","KM# 28.1","N# 1574","10 Cents - Elizabeth II (1st portrait; security edge)","Standard circulation coin","1955-1968","Round","Nickel brass","4.54","20.57","1960","1960","","","1","","","","0.1","","Norwich E November 19",""
"China","Hong Kong","Dollar (1863-date)","0.1","KM# 28.1","N# 1574","10 Cents - Elizabeth II (1st portrait; security edge)","Standard circulation coin","1955-1968","Round","Nickel brass","4.54","20.57","1960","1960","H","","1","","","","0.1","","Norwich E November 19",""
"China","Hong Kong","Dollar (1863-date)","0.1","KM# 55","N# 1585","10 Cents - Elizabeth II (3rd portrait)","Standard circulation coin","1985-1992","Round","Nickel brass","2","17.5","1990","1990","","","1","","","","0.1","","Bath A February 20",""
"China","Hong Kong","Dollar (1863-date)","0.2","KM# 67","N# 1584","20 Cents","Standard circulation coin","1993-1998","Scalloped (with 12 notches)","Nickel brass","2.6","19","1995","1995","","","1","","","","0.04","","Ebay B January 20",""
"China","Hong Kong","Dollar (1863-date)","0.5","KM# 27","N# 6140","50 Cents - George VI","Standard circulation coin","1951","Round","Copper-nickel","5.85","23.5","1951","1951","","KM#27.1 (reeded with security edge)","1","","","","1","","Ebay May 19","HK-05 a"
"China","Hong Kong","Dollar (1863-date)","1","KM# 31","N# 1066","1 Dollar - Elizabeth II (1st portrait)","Standard circulation coin","1960-1970","Round","Copper-nickel","11.7","29.8","1960","1960","H","KM#31.1 (Security edge)","1","","","","1","","Norwich August 19","HK-07"
"China","Hong Kong","Dollar (1863-date)","1","KM# 43","N# 1583","1 Dollar - Elizabeth II (2nd portrait)","Standard circulation coin","1978-1980","Round","Copper-nickel","7.1","25.5","1978","1978","","","1","","","","0.1","","Norwich September 19","HK-08"
"Colombia","Colombia","Peso decimalized (1847-date)","100","KM# 285","N# 2433","100 Pesos","Standard circulation coin","1992-2012","Round","Aluminium-bronze","5.31","23","1992","1992","","KM# 285.1 Numerals 4.5mm tall, small date; Restrepo#445.1","1","","","","0.04","","Ebay B January 20",""
"Congo, Democratic Republic of the","Belgian Congo and Ruanda-Urundi","Franc (1887-1967)","1","KM# 4","N# 6465","1 Franc","Standard circulation coin","1957-1960","Round","Aluminium","1.4","22.1","1960","1960","","","1","","","","0.5","","Norwich A January 20",""
"Costa Rica","Costa Rica","Colón (1896-date)","0.25","KM# 175","N# 3980","25 Céntimos","Standard circulation coin","1937-1948","Round","Copper-nickel","3.33","23","1948","1948","","","1","","","","0.1","","Norwich E December 19",""
"Croatia","Croatia","Kuna (1994-date)","0.1","KM# 6","N# 1272","10 Lipa (Croatian text)","Standard circulation coin","1993-2021","Round","Brass plated steel (72.5% Copper, 27.5% Steel)","3.25","20","1993","1993","","without dot","1","","","","0.29","","Ebay December 19",""
"Croatia","Croatia","Kuna (1994-date)","0.1","KM# 16","N# 5780","10 Lipa (Latin text)","Standard circulation coin","1994-2022","Round","Brass plated steel (Core: 72.5% Copper, 27.5% Zinc)","3.25","20","2002","2002",".","","1","","","","0.06","","Ebay December 19","x"
"Croatia","Croatia","Kuna (1994-date)","0.2","KM# 7","N# 2495","20 Lipa (Croatian text)","Standard circulation coin","1993-2021","Round","Nickel plated steel (Fe 95%, Ni 5% (plating composition))","2.9","18.5","1993","1993","","without dot","1","","","","0.39","","Ebay December 19",""
"Croatia","Croatia","Kuna (1994-date)","0.5","KM# 8","N# 1987","50 Lipa (Croatian text)","Standard circulation coin","1993-2021","Round","Nickel plated steel (Plating: 95% Iron, 5% Nickel)","3.65","20.5","1997","1997",".","","1","","","","0.49","","Ebay December 19",""
"Croatia","Croatia","Kuna (1994-date)","2","KM# 21","N# 2497","2 Kune (Latin text)","Standard circulation coin","1994-2022","Round","Nickel brass (65% Copper, 23.2% Zinc, 11.8% Nickel)","6.2","24.5","1994","1994",".","","1","","","","1","","Norwich August 19","HRV-01"
"Croatia","Croatia","Kuna (1994-date)","5","KM# 11","N# 2378","5 Kuna (Croatian text)","Standard circulation coin","1993-2021","Round","Nickel brass (63.1% Copper, 23.2% Nickel, 13.7% Zinc)","7.45","26.5","1993","1993","","without dot","1","","","","0.79","","Ebay December 19",""
"Cuba","Cuba","Convertible peso (1994-2020)","0.05","KM# 575","N# 960","5 Centavos","Standard circulation coin","1994-2018","Round","Nickel plated steel","2.65","18","2006","2006","","KM#575.2 - Coin alignment","1","","","","0.04","","Ebay B January 20",""
"Cuba","Cuba","Convertible peso (1994-2020)","0.1","KM# 576","N# 1054","10 Centavos","Standard circulation coin","1994-2018","Round","Nickel plated steel","4","20","1999","1999","","KM#576.2 (coin alignment)","1","","","","0.08","","Norwich August 19","CUB-01"
"Cyprus","Cyprus","Pound (1879-1955)","0.002777777777778","KM# 2","N# 20994","½ Piastre - Victoria","Standard circulation coin","1879-1900","Round","Bronze","5.83","27.5","1891","1891","","","1","","","","0.1","","Norwich E February 22",""
"Cyprus","Cyprus","Pound (1879-1955)","0.005555555555556","KM# 23a","N# 9171","1 Piastre - George VI","Standard circulation coin","1942-1946","Scalloped (12 scallops)","Bronze","5.18","23","1944","1944","","","1","","","","0.1","","Norwich E September 19","CYP-01 a"
"Cyprus","Cyprus","Pound (decimalized, 1955-1982)","0.001","KM# 38","N# 5646","1 Mil","Standard circulation coin","1963-1972","Dodecagonal (12-sided)","Aluminium","0.75","18.5","1963","1963","","","1","","","","0.1","","Norwich E January 19",""
"Cyprus","Cyprus","Pound (decimalized, 1955-1982)","0.005","KM# 34","N# 986","5 Mils - Elizabeth II (1st portrait)","Standard circulation coin","1955-1956","Round","Bronze","5.64","25.41","1955","1955","","","1","","","","1","","TS A February 22",""
"Cyprus","Cyprus","Pound (decimalized, 1955-1982)","0.005","KM# 39","N# 976","5 Mils","Standard circulation coin","1963-1980","Round","Bronze (Cu 97, Sn 0.5, Zn 2.5)","5.67","26","1971","1971","","","1","","","","0.83","","Ebay November 19",""
"Cyprus","Cyprus","Pound (decimalized, 1955-1982)","0.025","KM# 35","N# 8137","25 Mils - Elizabeth II (1st portrait)","Standard circulation coin","1955","Round","Copper-nickel","2.8","19.2","1955","1955","","","1","","","","0.83","","Ebay November 19",""
"Cyprus","Cyprus","Pound (decimalized, 1955-1982)","0.025","KM# 40","N# 3605","25 Mils","Standard circulation coin","1963-1982","Round","Copper-nickel","2.83","19.41","1963","1963","","","1","","","","0.83","","Ebay November 19",""
"Cyprus","Cyprus","Pound (decimalized, 1955-1982)","0.05","KM# 36","N# 6950","50 Mils - Elizabeth II (1st portrait)","Standard circulation coin","1955","Round","Copper-nickel","5.65","23.5","1955","1955","","","1","","","","0.83","","Ebay November 19",""
"Cyprus","Cyprus","Pound (decimalized, 1955-1982)","0.05","KM# 41","N# 4532","50 Mils","Standard circulation coin","1963-1982","Round","Copper-nickel","5.65","23.5","1963","1963","","","1","","","","0.83","","Ebay November 19",""
"Cyprus","Cyprus","Pound (decimalized, 1955-1982)","0.1","KM# 37","N# 10060","100 Mils - Elizabeth II (1st portrait)","Standard circulation coin","1955-1957","Round","Copper-nickel","11.31","28.5","1955","1955","","","1","","","","0.83","","Ebay November 19",""
"Cyprus","Cyprus","Pound (decimalized, 1955-1982)","0.1","KM# 42","N# 5805","100 Mils","Standard circulation coin","1963-1982","Round","Copper-nickel","11.3","28.45","1980","1980","","","1","","","","0.49","","Ebay P December 19","x"
"Cyprus","Cyprus","Pound (decimalized, 1983-2007)","0.01","KM# 53.3","N# 156147","1 Cent (Type 2 coat of arms)","Standard circulation coin","1991-2004","Round","Nickel brass","2","16.5","2004","2004","","","1","","","","0.1","","Norwich E October 19","CYP-02 a"
"Cyprus","Cyprus","Pound (decimalized, 1983-2007)","0.05","KM# 55.3","N# 155992","5 Cents (Type 2 coat of arms)","Standard circulation coin","1991-2004","Round","Nickel brass","3.75","22","1992","1992","","","1","","","","0.19","","Ebay P December 19","x"
"Cyprus","Cyprus","Pound (decimalized, 1983-2007)","0.2","KM# 57.1","N# 1946","20 Cents (Solid value number)","Standard circulation coin","1983","Round","Nickel brass","7.75","27.25","1983","1983","","","1","","","","0.01","","Norwich D January 20",""
"Cyprus","Cyprus","Pound (decimalized, 1983-2007)","0.2","KM# 62.2","N# 155624","20 Cents (Type 2 coat of arms)","Standard circulation coin","1991-2004","Round","Nickel brass","7.75","27.25","1992","1992","","","1","","","","0.1","","Norwich E October 19","CYP-03 a"
"Czech Republic","Czech Republic","Koruna (1993-date)","0.1","KM# 6","N# 2157","10 Haléřů","Standard circulation coin","1993-2003","Round","Aluminium","0.6","15.5","1999","1999","b","","1","","","","0.04","","Ebay B January 20",""
"Czech Republic","Czech Republic","Koruna (1993-date)","1","KM# 7","N# 2150","1 Koruna","Standard circulation coin","1993-2022","Round","Nickel plated steel","3.6","20","2016","2016","b","","1","","","","","","Hall Farm House","CZR-01 a"
"Czech Republic","Czech Republic","Koruna (1993-date)","2","KM# 9","N# 2155","2 Koruny","Standard circulation coin","1993-2022","Hendecagonal (11-sided)","Nickel plated steel","3.7","21.5","2009","2009","b","","1","","","","","","Hall Farm House","CZR-02 a"
"Czech Republic","Czech Republic","Koruna (1993-date)","5","KM# 8","N# 2149","5 Korun","Standard circulation coin","1993-2022","Round","Nickel plated steel","4.8","23","2007","2007","b","In sets only","1","","","","","","Hall Farm House","CZR-03 a"
"Czech Republic","Czech Republic","Koruna (1993-date)","10","KM# 4","N# 2152","10 Korun","Standard circulation coin","1993-2022","Round","Copper plated steel","7.62","24.5","2014","2014","b","","1","","","","","","Budapest August 19","CZR-06 a"
"Czech Republic","Czech Republic","Koruna (1993-date)","20","KM# 5","N# 2148","20 Korun","Standard circulation coin","1993-2022","Tridecagonal","Brass plated steel","8.49","26","1999","1999","b","","1","","","","","","Hall Farm House","CZR-04 a"
"Czech Republic","Czech Republic","Koruna (1993-date)","50","KM# 1","N# 3968","50 Korun","Standard circulation coin","1993-2022","Round","Bimetallic: brass plated steel centre in copper plated steel ring","9.7","27.5","2018","2018","b","","1","","","","","","Hall Farm House","CZR-05 a"
"Czechoslovakia","Czechoslovakia","Koruna (1919-1939)","0.2","KM# 1","N# 657","20 Haléřů","Standard circulation coin","1921-1938","Round","Copper-nickel","3.3","20","1921","1921","","","1","","","","0.98","","Ebay September 19","CSL-04 a"
"Czechoslovakia","Czechoslovakia","Koruna (1919-1939)","0.5","KM# 2","N# 3970","50 Haléřů","Standard circulation coin","1921-1931","Round","Copper-nickel","5","22","1921","1921","","","1","","","","1","","Norwich August 19","CSL-03 a"
"Czechoslovakia","Czechoslovakia","Koruna (1919-1939)","1","KM# 4","N# 1225","1 Koruna","Standard circulation coin","1922-1938","Round","Copper-nickel","6.66","25","1923","1923","","","1","","","","1.33","","Ebay September 19","CSL-05 a"
"Czechoslovakia","Czechoslovakia","Koruna (1953-1992)","0.1","KM# 38","N# 2017","10 Haléřů","Standard circulation coin","1953-1958","Round","Aluminium","1.18","22","1953","1953","","Kremnica Mint: 125 reeds","1","","","","0.69","","Ebay September 19","CSL-06 a"
"Czechoslovakia","Czechoslovakia","Koruna (1953-1992)","0.1","KM# 49","N# 2645","10 Haléřů","Standard circulation coin","1961-1971","Round","Aluminium","1.2","22","1969","1969","","KM#49.1","1","","","","0.92","","Ebay September 19","CSL-07"
"Czechoslovakia","Czechoslovakia","Koruna (1953-1992)","0.1","KM# 80","N# 3274","10 Haléřů","Standard circulation coin","1974-1990","Round","Aluminium","0.92","18.2","1979","1979","","","1","","","","0.49","","Ebay September 19","CSL-08"
"Czechoslovakia","Czechoslovakia","Koruna (1953-1992)","0.1","KM# 146","N# 3994","10 Haléřů","Standard circulation coin","1991-1992","Round","Aluminium","0.9","18.2","1992","1992","","","1","","","","0.29","","Ebay September 19","CSL-14"
"Czechoslovakia","Czechoslovakia","Koruna (1953-1992)","0.2","KM# 74","N# 2021","20 Haléřů","Standard circulation coin","1972-1990","Round","Nickel brass","2.6","19.5","1985","1985","","","1","","","","0.49","","Ebay September 19","CSL-09"
"Czechoslovakia","Czechoslovakia","Koruna (1953-1992)","0.25","KM# 54","N# 5457","25 Haléřů","Standard circulation coin","1962-1964","Round","Aluminium","1.43","24","1963","1963","","mintage included in 1962","1","","","","0.94","","Ebay September 19","CSL-10"
